asynchronous	http://purl.obolibrary.org/obo/PATO_0000688	synchronous	http://purl.obolibrary.org/obo/PATO_0000695	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
continuous	http://purl.obolibrary.org/obo/PATO_0000689	discontinuous	http://purl.obolibrary.org/obo/PATO_0000690	fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
rough	http://purl.obolibrary.org/obo/PATO_0000700	smooth	http://purl.obolibrary.org/obo/PATO_0000701	fypo.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
decreased threshold	http://purl.obolibrary.org/obo/PATO_0000708	increased threshold	http://purl.obolibrary.org/obo/PATO_0000706	pato.owl,mp.owl
balanced	http://purl.obolibrary.org/obo/PATO_0000757	unbalanced	http://purl.obolibrary.org/obo/PATO_0000758	pato.owl,mp.owl,zp.owl
decreased behavioural activity	http://purl.obolibrary.org/obo/PATO_0000761	increased behavioural activity	http://purl.obolibrary.org/obo/PATO_0000760	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
coordinated	http://purl.obolibrary.org/obo/PATO_0000769	uncoordinated	http://purl.obolibrary.org/obo/PATO_0000770	wbphenotype.owl,pato.owl,mp.owl,nbo.owl,zp.owl
female fertile	http://purl.obolibrary.org/obo/PATO_0000888	female sterile	http://purl.obolibrary.org/obo/PATO_0000892	hp.owl,pato.owl,mp.owl,dpo.owl,zp.owl
male fertile	http://purl.obolibrary.org/obo/PATO_0000891	male sterile	http://purl.obolibrary.org/obo/PATO_0000890	hp.owl,pato.owl,mp.owl,dpo.owl,zp.owl
decreased rate	http://purl.obolibrary.org/obo/PATO_0000911	increased rate	http://purl.obolibrary.org/obo/PATO_0000912	wbphenotype.owl,hp.owl,pato.owl,nbo.owl,ecto.owl,tso-merged.owl,phipo.owl,pco.owl,xpo.owl,fypo.owl,maxo.owl,mp.owl,dpo.owl,zp.owl,omp.owl,planp.owl
disorganized	http://purl.obolibrary.org/obo/PATO_0000937	organized	http://purl.obolibrary.org/obo/PATO_0000938	xpo.owl,wbphenotype.owl,pato.owl,mp.owl,zp.owl
fertile	http://purl.obolibrary.org/obo/PATO_0000955	sterile	http://purl.obolibrary.org/obo/PATO_0000956	wbphenotype.owl,ecocore.owl,hp.owl,pato.owl,mp.owl,dpo.owl,zp.owl
opaque	http://purl.obolibrary.org/obo/PATO_0000963	transparent	http://purl.obolibrary.org/obo/PATO_0000964	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
impermeable	http://purl.obolibrary.org/obo/PATO_0000983	permeable	http://purl.obolibrary.org/obo/PATO_0000982	fypo.owl,pato.owl,mp.owl,zp.owl,omp.owl
non-porous	http://purl.obolibrary.org/obo/PATO_0000985	porous	http://purl.obolibrary.org/obo/PATO_0000984	pato.owl,mp.owl,zp.owl
resistance to	http://purl.obolibrary.org/obo/PATO_0001046	susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001043	wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,dpo.owl,phipo.owl
insusceptible toward	http://purl.obolibrary.org/obo/PATO_0001153	susceptible toward	http://purl.obolibrary.org/obo/PATO_0001152	hp.owl,pato.owl,mp.owl
elongated	http://purl.obolibrary.org/obo/PATO_0001154	shortened	http://purl.obolibrary.org/obo/PATO_0002364	xpo.owl,hp.owl,pato.owl,mp.owl,zp.owl
decreased concentration	http://purl.obolibrary.org/obo/PATO_0001163	increased concentration	http://purl.obolibrary.org/obo/PATO_0001162	fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl,planp.owl,phipo.owl
damaged	http://purl.obolibrary.org/obo/PATO_0001167	undamaged	http://purl.obolibrary.org/obo/PATO_0001168	olobo_merged.owl,hp.owl,pato.owl,mp.owl,zp.owl
elastic	http://purl.obolibrary.org/obo/PATO_0001171	inelastic	http://purl.obolibrary.org/obo/PATO_0001172	hp.owl,pato.owl,mp.owl,zp.owl
hyperresponsive to	http://purl.obolibrary.org/obo/PATO_0001192	hyporesponsive to	http://purl.obolibrary.org/obo/PATO_0001194	wbphenotype.owl,pato.owl,mp.owl,zp.owl
serrated	http://purl.obolibrary.org/obo/PATO_0001206	unserrated	http://purl.obolibrary.org/obo/PATO_0001975	pato.owl
distal to	http://purl.obolibrary.org/obo/PATO_0001234	dorsal to	http://purl.obolibrary.org/obo/PATO_0001233	olobo_merged.owl,pato.owl,mp.owl,zp.owl
decreased temperature	http://purl.obolibrary.org/obo/PATO_0001306	increased temperature	http://purl.obolibrary.org/obo/PATO_0001305	fypo.owl,mco.owl,pato.owl,mp.owl,nbo.owl,ecto.owl,omp.owl
decreased variability of temperature	http://purl.obolibrary.org/obo/PATO_0001307	increased variability of temperature	http://purl.obolibrary.org/obo/PATO_0001308	pato.owl
decreased duration of temperature	http://purl.obolibrary.org/obo/PATO_0001311	increased duration of temperature	http://purl.obolibrary.org/obo/PATO_0001312	pato.owl
invariant temperature	http://purl.obolibrary.org/obo/PATO_0001313	variant temperature	http://purl.obolibrary.org/obo/PATO_0001314	pato.owl
discriminate	http://purl.obolibrary.org/obo/PATO_0001319	indiscriminate	http://purl.obolibrary.org/obo/PATO_0001318	pato.owl
concave	http://purl.obolibrary.org/obo/PATO_0001857	convex	http://purl.obolibrary.org/obo/PATO_0001355	xpo.owl,fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,cl.owl,pato.owl,mp.owl,zp.owl,omp.owl,planp.owl
fragile	http://purl.obolibrary.org/obo/PATO_0001362	non-fragile	http://purl.obolibrary.org/obo/PATO_0001716	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
structured	http://purl.obolibrary.org/obo/PATO_0001411	unstructured	http://purl.obolibrary.org/obo/PATO_0001412	pato.owl,mp.owl,zp.owl
irregular duration	http://purl.obolibrary.org/obo/PATO_0001417	regular duration	http://purl.obolibrary.org/obo/PATO_0001416	pato.owl,mp.owl,zp.owl
aerobic	http://purl.obolibrary.org/obo/PATO_0001455	anaerobic	http://purl.obolibrary.org/obo/PATO_0001456	pato.owl
aerobic (for occurrence)	http://purl.obolibrary.org/obo/PATO_0001459	anaerobic (for occurrence)	http://purl.obolibrary.org/obo/PATO_0001460	pato.owl
decreased depth	http://purl.obolibrary.org/obo/PATO_0001472	increased depth	http://purl.obolibrary.org/obo/PATO_0001596	wbphenotype.owl,hp.owl,pato.owl,mp.owl,nbo.owl,zp.owl
decreased position	http://purl.obolibrary.org/obo/PATO_0001476	increased position	http://purl.obolibrary.org/obo/PATO_0001475	xpo.owl,fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,dpo.owl,zp.owl,planp.owl
condensed	http://purl.obolibrary.org/obo/PATO_0001485	decondensed	http://purl.obolibrary.org/obo/PATO_0002452	pato.owl,mp.owl,zp.owl
hypertrophic growth	http://purl.obolibrary.org/obo/PATO_0001493	hypotrophic growth	http://purl.obolibrary.org/obo/PATO_0001494	pato.owl,mp.owl,zp.owl
immature	http://purl.obolibrary.org/obo/PATO_0001501	mature	http://purl.obolibrary.org/obo/PATO_0001701	cl.owl,pato.owl,mp.owl,zp.owl
functional	http://purl.obolibrary.org/obo/PATO_0001510	non-functional	http://purl.obolibrary.org/obo/PATO_0001511	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
insoluble in	http://purl.obolibrary.org/obo/PATO_0001538	soluble in	http://purl.obolibrary.org/obo/PATO_0001537	pato.owl
flexible	http://purl.obolibrary.org/obo/PATO_0001544	inflexible	http://purl.obolibrary.org/obo/PATO_0001545	hp.owl,pato.owl,mp.owl,zp.owl
decreased sensitivity toward	http://purl.obolibrary.org/obo/PATO_0001550	increased sensitivity toward	http://purl.obolibrary.org/obo/PATO_0001549	wbphenotype.owl,hp.owl,pato.owl,mp.owl,phipo.owl
decreased sensitivity of a process	http://purl.obolibrary.org/obo/PATO_0001552	increased sensitivity of a process	http://purl.obolibrary.org/obo/PATO_0001551	fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl,phipo.owl
decreased sensitivity of a process to oxygen	http://purl.obolibrary.org/obo/PATO_0001554	increased sensitivity of a process to oxygen	http://purl.obolibrary.org/obo/PATO_0001553	pato.owl
decreased mass	http://purl.obolibrary.org/obo/PATO_0001562	increased mass	http://purl.obolibrary.org/obo/PATO_0001563	xpo.owl,maxo.owl,hp.owl,pato.owl,mp.owl,dpo.owl,nbo.owl,ecto.owl,zp.owl,planp.owl
distributed	http://purl.obolibrary.org/obo/PATO_0001566	undistributed	http://purl.obolibrary.org/obo/PATO_0001567	xpo.owl,pato.owl,mp.owl,zp.owl
decreased pressure	http://purl.obolibrary.org/obo/PATO_0001575	increased pressure	http://purl.obolibrary.org/obo/PATO_0001576	maxo.owl,hp.owl,pato.owl,mp.owl,ecto.owl,zp.owl
decreased permeability	http://purl.obolibrary.org/obo/PATO_0001578	increased permeability	http://purl.obolibrary.org/obo/PATO_0001577	fypo.owl,pato.owl,mp.owl,zp.owl,omp.owl
decreased contractility	http://purl.obolibrary.org/obo/PATO_0001581	increased contractility	http://purl.obolibrary.org/obo/PATO_0001580	pato.owl,mp.owl,zp.owl
decreased variability	http://purl.obolibrary.org/obo/PATO_0001583	increased variability	http://purl.obolibrary.org/obo/PATO_0001584	wbphenotype.owl,pato.owl,mp.owl,zp.owl
decreased variability of rate	http://purl.obolibrary.org/obo/PATO_0001588	increased variability of rate	http://purl.obolibrary.org/obo/PATO_0001587	pato.owl,mp.owl,zp.owl
decreased curvature	http://purl.obolibrary.org/obo/PATO_0001593	increased curvature	http://purl.obolibrary.org/obo/PATO_0001592	xpo.owl,fypo.owl,hp.owl,cl.owl,pato.owl,mp.owl,zp.owl,planp.owl
decreased life span	http://purl.obolibrary.org/obo/PATO_0001604	increased life span	http://purl.obolibrary.org/obo/PATO_0001603	wbphenotype.owl,cl.owl,pato.owl,mp.owl,zp.owl
decreased variability of color	http://purl.obolibrary.org/obo/PATO_0001613	increased variability of color	http://purl.obolibrary.org/obo/PATO_0001612	pato.owl,mp.owl
invariant color	http://purl.obolibrary.org/obo/PATO_0001614	variant color	http://purl.obolibrary.org/obo/PATO_0001615	pato.owl,mp.owl
decreased tonicity	http://purl.obolibrary.org/obo/PATO_0001619	increased tonicity	http://purl.obolibrary.org/obo/PATO_0001618	hp.owl,pato.owl,mp.owl,zp.owl
decreased turgor	http://purl.obolibrary.org/obo/PATO_0001621	increased turgor	http://purl.obolibrary.org/obo/PATO_0001622	pato.owl,mp.owl
decreased functionality	http://purl.obolibrary.org/obo/PATO_0001624	increased functionality	http://purl.obolibrary.org/obo/PATO_0001625	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
insufficient	http://purl.obolibrary.org/obo/PATO_0001628	sufficient	http://purl.obolibrary.org/obo/PATO_0001627	hp.owl,pato.owl,mp.owl,zp.owl
necessary (continuant)	http://purl.obolibrary.org/obo/PATO_0001635	unnecessary (continuant)	http://purl.obolibrary.org/obo/PATO_0001636	pato.owl
necessary (occurrent)	http://purl.obolibrary.org/obo/PATO_0001638	unnecessary (occurrent)	http://purl.obolibrary.org/obo/PATO_0001639	pato.owl
decreased resistance to	http://purl.obolibrary.org/obo/PATO_0001651	increased resistance to	http://purl.obolibrary.org/obo/PATO_0001650	wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,dpo.owl,phipo.owl
aligned with	http://purl.obolibrary.org/obo/PATO_0001653	misaligned with	http://purl.obolibrary.org/obo/PATO_0001654	hp.owl,pato.owl,mp.owl,zp.owl
decreased osmolarity	http://purl.obolibrary.org/obo/PATO_0001656	increased osmolarity	http://purl.obolibrary.org/obo/PATO_0001657	pato.owl,mp.owl
decreased solubility	http://purl.obolibrary.org/obo/PATO_0001664	increased solubility	http://purl.obolibrary.org/obo/PATO_0001663	pato.owl
decreased susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001670	increased susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001669	hp.owl,pato.owl,mp.owl
decreased distribution	http://purl.obolibrary.org/obo/PATO_0001672	increased distribution	http://purl.obolibrary.org/obo/PATO_0001671	xpo.owl,pato.owl,mp.owl,zp.owl
decreased efficiency	http://purl.obolibrary.org/obo/PATO_0001675	increased efficiency	http://purl.obolibrary.org/obo/PATO_0001676	pato.owl,mp.owl,zp.owl
efficient	http://purl.obolibrary.org/obo/PATO_0001678	inefficient	http://purl.obolibrary.org/obo/PATO_0001677	wbphenotype.owl,pato.owl,mp.owl,zp.owl
decreased magnetism	http://purl.obolibrary.org/obo/PATO_0001684	increased magnetism	http://purl.obolibrary.org/obo/PATO_0001683	pato.owl
magnetic	http://purl.obolibrary.org/obo/PATO_0001685	non-magnetic	http://purl.obolibrary.org/obo/PATO_0001686	pato.owl
decreased elevation	http://purl.obolibrary.org/obo/PATO_0001689	increased elevation	http://purl.obolibrary.org/obo/PATO_0001688	pato.owl,mp.owl,zp.owl
contractile	http://purl.obolibrary.org/obo/PATO_0001690	non-contractile	http://purl.obolibrary.org/obo/PATO_0001691	pato.owl,mp.owl,zp.owl
decreased viscosity	http://purl.obolibrary.org/obo/PATO_0001694	increased viscosity	http://purl.obolibrary.org/obo/PATO_0001693	pato.owl,mp.owl,zp.owl
decreased fecundity	http://purl.obolibrary.org/obo/PATO_0001696	increased fecundity	http://purl.obolibrary.org/obo/PATO_0001695	pato.owl,mp.owl,dpo.owl,zp.owl
decreased photosensitivity	http://purl.obolibrary.org/obo/PATO_0001697	increased photosensitivity	http://purl.obolibrary.org/obo/PATO_0001698	hp.owl,pato.owl,mp.owl,zp.owl
irregular sleep pattern	http://purl.obolibrary.org/obo/PATO_0001700	regular sleep pattern	http://purl.obolibrary.org/obo/PATO_0001699	pato.owl,mp.owl,zp.owl
behavioural active	http://purl.obolibrary.org/obo/PATO_0001707	behavioural inactive	http://purl.obolibrary.org/obo/PATO_0001706	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
